sample,population,gvcf,contamination,alignment_summary_metrics,duplicate_metrics,insert_size_metrics,wgs_metrics
NA19240,YRI,gs://cpg-fewgenomes-upload/NA19240/gvcf/NA19240.g.vcf.gz,,,,,
HG01552,CLM,gs://cpg-fewgenomes-upload/HG01552/gvcf/HG01552.g.vcf.gz,,,,,
NA18906,YRI,gs://cpg-fewgenomes-upload/NA18906/gvcf/NA18906.g.vcf.gz,,,,,
NA10854,CEU,gs://cpg-fewgenomes-upload/NA10854/gvcf/NA10854.g.vcf.gz,,,,,
HG01385,CLM,gs://cpg-fewgenomes-upload/HG01385/gvcf/HG01385.g.vcf.gz,,,,,
HG01502,IBS,gs://cpg-fewgenomes-upload/HG01502/gvcf/HG01502.g.vcf.gz,,,,,
NA19142,YRI,gs://cpg-fewgenomes-upload/NA19142/gvcf/NA19142.g.vcf.gz,,,,,
HG01763,IBS,gs://cpg-fewgenomes-upload/HG01763/gvcf/HG01763.g.vcf.gz,,,,,
NA18852,YRI,gs://cpg-fewgenomes-upload/NA18852/gvcf/NA18852.g.vcf.gz,,,,,
HG01135,CLM,gs://cpg-fewgenomes-upload/HG01135/gvcf/HG01135.g.vcf.gz,,,,,
NA19748,MXL,gs://cpg-fewgenomes-upload/NA19748/gvcf/NA19748.g.vcf.gz,,,,,
HG01696,,gs://cpg-fewgenomes-upload/HG01696/gvcf/HG01696.g.vcf.gz,,,,,
HG00655,CHS,gs://cpg-fewgenomes-upload/HG00655/gvcf/HG00655.g.vcf.gz,,,,,
HG01891,ACB,gs://cpg-fewgenomes-upload/HG01891/gvcf/HG01891.g.vcf.gz,,,,,
HG01056,PUR,gs://cpg-fewgenomes-upload/HG01056/gvcf/HG01056.g.vcf.gz,,,,,
HG02279,PEL,gs://cpg-fewgenomes-upload/HG02279/gvcf/HG02279.g.vcf.gz,,,,,
HG01279,,gs://cpg-fewgenomes-upload/HG01279/gvcf/HG01279.g.vcf.gz,,,,,
HG01671,,gs://cpg-fewgenomes-upload/HG01671/gvcf/HG01671.g.vcf.gz,,,,,
NA12239,CEU,gs://cpg-fewgenomes-upload/NA12239/gvcf/NA12239.g.vcf.gz,,,,,
NA12801,CEU,gs://cpg-fewgenomes-upload/NA12801/gvcf/NA12801.g.vcf.gz,,,,,
NA18935,,gs://cpg-fewgenomes-upload/NA18935/gvcf/NA18935.g.vcf.gz,,,,,
NA19727,MXL,gs://cpg-fewgenomes-upload/NA19727/gvcf/NA19727.g.vcf.gz,,,,,
HG00585,CHS,gs://cpg-fewgenomes-upload/HG00585/gvcf/HG00585.g.vcf.gz,,,,,
NA19659,MXL,gs://cpg-fewgenomes-upload/NA19659/gvcf/NA19659.g.vcf.gz,,,,,
NA10855,CEU,gs://cpg-fewgenomes-upload/NA10855/gvcf/NA10855.g.vcf.gz,,,,,
NA11839,,gs://cpg-fewgenomes-upload/NA11839/gvcf/NA11839.g.vcf.gz,,,,,
NA19724,,gs://cpg-fewgenomes-upload/NA19724/gvcf/NA19724.g.vcf.gz,,,,,
NA20279,ASW,gs://cpg-fewgenomes-upload/NA20279/gvcf/NA20279.g.vcf.gz,,,,,
NA10857,,gs://cpg-fewgenomes-upload/NA10857/gvcf/NA10857.g.vcf.gz,,,,,
HG01895,ACB,gs://cpg-fewgenomes-upload/HG01895/gvcf/HG01895.g.vcf.gz,,,,,
HG00694,CHS,gs://cpg-fewgenomes-upload/HG00694/gvcf/HG00694.g.vcf.gz,,,,,
